Match_ID,Time,RHero1,RHero2,RHero3,RHero4,RHero5,DHero1,DHero2,DHero3,DHero4,DHero5,mmr,Rwin
5771026209, 2021-01-03 21:57:12, 20,93,74,123,30, 100,19,42,63,86, 4326, False
5771026206, 2021-01-03 21:57:03, 26,87,63,76,16, 54,100,17,31,104, 4048, False
5771026102, 2021-01-03 21:57:04, 8,91,69,71,21, 109,3,86,83,85, 4298, False
5771025914, 2021-01-03 21:56:48, 33,26,11,85,6, 3,114,75,94,110, 4156, True
5771025813, 2021-01-03 21:56:33, 7,108,56,58,114, 26,1,120,128,15, 5540, True
5771025812, 2021-01-03 21:56:23, 7,31,67,101,129, 74,120,42,123,26, 4208, False
5771025716, 2021-01-03 21:56:08, 90,8,31,99,49, 110,37,84,83,32, 4020, False
5771025704, 2021-01-03 21:56:35, 100,74,93,31,95, 34,7,14,98,48, 4679, True
5771025606, 2021-01-03 21:56:28, 100,6,78,88,34, 60,52,81,18,26, 5079, True
5771025215, 2021-01-03 21:55:43, 21,63,71,27,70, 85,42,39,25,113, 4327, False
5771025200, 2021-01-03 21:55:58, 15,104,88,64,109, 13,3,8,20,2, 4505, True
5771025113, 2021-01-03 21:55:58, 30,123,23,41,56, 26,9,44,74,97, 4830, True
5771025107, 2021-01-03 21:55:58, 95,11,111,2,85, 27,42,93,47,123, 4758, False
5771024511, 2021-01-03 21:55:22, 95,87,29,105,74, 1,28,31,19,110, 4387, False
5771024508, 2021-01-03 21:55:18, 27,12,121,14,11, 8,3,9,60,65, 5454, True
5771024301, 2021-01-03 21:55:04, 31,8,86,21,101, 84,114,98,89,88, 4353, True
5771024217, 2021-01-03 21:54:58, 84,54,53,62,22, 30,52,90,13,95, 4947, True
5771023919, 2021-01-03 21:54:42, 49,109,22,14,62, 67,126,99,85,5, 4292, False
5771023615, 2021-01-03 21:53:54, 26,71,110,35,56, 64,12,123,21,2, 4201, True
5771023605, 2021-01-03 21:54:18, 83,14,105,73,104, 89,121,9,60,11, 4934, True
5771023603, 2021-01-03 21:54:17, 44,114,75,36,101, 92,35,32,42,10, 4008, False
